A,B,C,D,E,F,G,H,I,J,L,M,Monto,N,O,P,Q,R,S,Fraude
1,4,571,0,0,0.0,0.0,0,0,0,3,4,588.298,3,0,5,588.3,588.298,35.19,1
0,5,91796,0,0,0.0,0.0,0,0,0,0,3,0.0,1,0,2,0.0,0.0,18.72,1
1,11,1941,0,0,0.0,0.0,0,0,7,0,1,0.0,1,0,1,0.0,0.0,40.12,1
0,9,97233,0,1,0.003,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,8.29,1
0,12,2629,0,1,0.0,0.0,0,0,1,0,1,0.0,1,0,3,0.0,0.0,10.01,1
0,16,151760,0,0,0.0,0.0,0,0,0,0,4,0.0,1,0,5,0.0,0.0,23.56,1
0,17,5552,0,0,0.0,0.0,0,0,1,0,1,0.0,1,0,2,0.0,0.0,86.64,1
0,14,5756,0,0,0.0,0.0,0,0,9,1,1,0.0,1,0,2,0.0,0.0,76.14,1
0,10,5774,0,0,0.0,0.0,0,0,16,1,1,0.0,1,0,2,0.0,0.0,92.78,1
0,11,13960,0,1,0.006,0.0,0,1,0,1,3,0.0,1,0,1,0.0,0.0,26.87,1
0,12,3643,0,0,0.0,0.0,0,0,0,1,2,0.0,1,0,1,0.0,0.0,10.39,1
0,7,73855,0,1,0.013,0.0,0,1,6,0,2,0.0,1,0,3,0.0,0.0,13.26,1
0,6,119,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,10.66,1
0,12,3037,0,0,0.0,0.0,0,0,13,0,3,0.0,1,0,4,0.0,0.0,7.5,1
2,13,95494,0,0,0.0,0.0,0,0,13,0,2,0.0,1,0,1,0.0,0.0,30.14,1
0,7,2478,0,0,0.0,0.0,0,0,1,0,1,0.0,1,0,1,0.0,0.0,13.64,1
0,16,13879,2,4,0.009,0.006,1,3,0,0,1,0.0,1,0,2,0.0,0.0,92.45,1
0,6,11,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,22.62,1
1,18,24269,0,0,0.0,0.0,0,0,3,0,1,0.0,1,0,1,0.0,0.0,38.87,1
0,10,23196,1,0,0.0,0.154,0,0,12,1,2,0.0,1,0,2,0.0,0.0,5.53,1
0,13,11960,2,1,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,4.09,1
0,16,970,0,1,0.077,0.0,0,0,2,0,2,0.0,1,0,2,0.0,0.0,89.15,1
0,8,1079,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,15.18,1
0,15,5866,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,7.05,1
0,14,23286,0,0,0.0,0.0,0,0,8,0,2,0.0,1,0,2,0.0,0.0,57.5,1
0,7,304394,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,28.81,1
0,12,21323,0,0,0.0,0.0,0,0,13,0,1,0.0,1,0,2,0.0,0.0,27.06,1
0,14,322,0,0,0.0,0.0,0,0,0,0,3,0.0,1,0,2,0.0,0.0,33.36,1
0,16,208946,0,0,0.0,0.0,0,0,13,0,2,0.0,1,0,2,0.0,0.0,96.16,1
0,9,84508,0,1,0.0,0.0,0,0,11,0,3,0.0,1,0,3,0.0,0.0,30.3,1
0,7,19067,0,3,0.326,0.0,0,0,0,0,2,13.883,1,0,3,13.88,13.883,26.32,1
2,8,26561,0,0,0.0,0.0,0,0,0,0,3,0.0,1,0,1,0.0,0.0,54.42,1
1,5,46737,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,7.66,1
0,16,4815,0,2,0.004,0.0,0,0,0,0,4,0.0,1,0,4,0.0,0.0,94.65,1
0,6,352795,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,13.54,1
0,5,5046,0,0,0.0,0.0,0,0,5,2,2,140.996,2,0,2,141.0,140.996,39.88,1
0,7,397,0,0,0.0,0.0,0,0,15,0,1,0.0,1,0,1,0.0,0.0,38.01,1
0,8,3338,0,0,0.0,0.0,0,0,7,0,1,0.0,1,0,1,0.0,0.0,23.38,1
0,19,2614,0,0,0.0,0.0,0,0,0,0,3,0.0,1,0,1,0.0,0.0,8.46,1
0,11,38798,0,1,0.003,0.0,0,1,0,1,2,0.0,1,0,2,0.0,0.0,13.76,1
0,14,32198,0,0,0.0,0.0,0,0,5,0,1,0.0,1,0,1,0.0,0.0,73.51,1
0,5,1061,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,13.58,1
0,16,830,0,0,0.0,0.0,0,0,4,3,4,0.0,2,0,1,0.0,0.0,93.14,1
1,5,17349,0,0,0.0,0.0,0,0,2,1,1,0.0,1,0,1,0.0,0.0,13.67,1
2,15,5093,0,0,0.0,0.0,0,0,0,2,3,0.0,2,0,2,0.0,0.0,21.28,1
0,14,74,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,2,0.0,0.0,8.14,1
0,12,119876,0,0,0.002,0.0,0,0,0,0,3,0.0,1,0,4,0.0,0.0,16.24,1
0,11,367976,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,1,0.0,0.0,20.0,1
0,12,62,0,0,0.409,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,14.12,1
0,10,859,0,1,0.005,0.0,0,1,0,0,1,0.0,1,0,1,0.0,0.0,7.21,1
1,7,8652,0,2,0.003,0.0,0,1,0,0,1,0.0,1,0,1,0.0,0.0,32.04,1
0,10,324883,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,35.09,1
0,15,9136,0,0,0.0,0.0,0,0,4,1,1,0.0,1,0,1,0.0,0.0,81.08,1
0,10,9157,2,0,0.0,0.482,0,0,12,0,1,0.0,1,0,2,0.0,0.0,23.09,1
0,8,738,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,85.67,1
0,14,969,0,0,0.039,0.0,0,0,0,0,2,0.0,1,0,4,0.0,0.0,77.95,1
0,9,608,0,2,0.0,0.0,0,1,1,0,1,0.0,1,0,1,0.0,0.0,88.38,1
1,15,17101,0,0,0.0,0.0,0,0,0,1,2,58.153,1,0,2,58.15,58.153,79.67,1
1,5,49574,0,0,0.0,0.0,0,0,7,1,3,0.0,1,0,1,0.0,0.0,59.15,1
0,15,2931,0,1,0.0,0.0,0,1,2,0,2,0.0,1,0,1,0.0,0.0,95.62,1
0,7,28800,0,0,0.0,0.0,0,0,10,0,1,0.0,1,0,2,0.0,0.0,36.0,1
0,3,77964,0,1,0.013,0.0,0,1,3,1,3,0.0,2,0,2,0.0,0.0,46.07,1
0,9,1038,0,0,0.0,0.0,0,0,1,1,1,0.0,1,0,1,0.0,0.0,15.62,1
0,10,30582,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,17.79,1
1,5,5774,1,1,0.03,0.03,0,0,0,0,1,0.0,1,0,2,0.0,0.0,23.52,1
0,7,6411,2,0,0.0,0.003,0,0,1,1,3,43.966,2,0,1,43.97,43.966,12.76,1
0,6,639,0,0,0.0,0.0,0,0,0,2,2,0.0,2,0,2,0.0,0.0,56.64,1
1,9,2523,0,0,0.0,0.0,0,0,3,0,1,76.812,1,0,2,76.81,76.812,56.37,1
0,10,401596,3,0,0.0,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,35.07,1
0,12,367605,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,3,0.0,0.0,71.21,1
0,14,83,0,0,0.0,0.0,0,0,2,0,2,0.0,1,0,1,0.0,0.0,40.78,1
0,9,197,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,45.18,1
0,11,471,0,0,0.045,0.0,0,0,0,0,3,0.0,1,0,3,0.0,0.0,9.9,1
0,8,558,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,28.09,1
1,4,3614,0,1,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,15.61,1
1,5,1677,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,1,0.0,0.0,20.6,1
0,13,11997,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,1,0.0,0.0,31.45,1
0,15,2014,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,3,0.0,0.0,77.03,1
1,11,347171,0,0,0.0,0.0,0,0,0,0,2,99.868,2,0,2,99.87,99.868,42.4,1
0,15,39572,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,26.53,1
1,4,49623,0,0,0.0,0.0,0,0,6,1,4,0.0,1,0,1,0.0,0.0,67.72,1
0,10,355629,0,1,0.0,0.0,0,1,9,1,1,0.0,1,0,2,0.0,0.0,53.88,1
0,14,7671,1,0,0.0,0.059,0,0,0,0,2,0.0,1,0,2,0.0,0.0,52.91,1
0,7,9326,0,2,0.0,0.0,0,0,0,0,4,0.0,1,1,2,0.0,0.0,26.37,1
0,9,1377,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,44.65,1
0,4,25676,0,1,0.002,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,14.36,1
0,1,1756,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,20.95,1
0,15,2718,6,6,0.002,0.011,0,0,0,0,1,0.0,1,0,2,0.0,0.0,47.98,1
2,14,6113,0,0,0.0,0.0,0,0,4,0,2,0.0,1,0,2,0.0,0.0,39.05,1
0,12,50268,0,0,0.0,0.0,0,0,18,0,3,0.0,1,0,4,0.0,0.0,44.77,1
2,3,102841,0,3,0.033,0.0,0,0,0,1,2,0.0,2,0,1,0.0,0.0,49.05,1
1,12,102719,0,3,0.202,0.0,0,3,0,0,1,0.0,1,0,1,0.0,0.0,94.53,1
0,12,17714,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,38.94,1
0,7,95799,0,0,0.0,0.0,0,0,12,1,2,0.0,1,0,2,0.0,0.0,25.36,1
0,8,77812,0,0,0.0,0.0,0,0,3,0,4,0.0,1,0,1,0.0,0.0,44.91,1
0,12,449000,0,1,0.006,0.0,0,0,16,0,1,0.0,1,0,7,0.0,0.0,22.66,1
0,15,8486,0,0,0.0,0.0,0,0,15,1,1,507.047,1,0,1,507.05,507.047,4.36,1
0,5,10112,0,0,0.073,0.0,0,0,11,1,1,0.0,1,0,1,0.0,0.0,36.43,1
0,17,36,0,1,0.669,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,92.34,1
0,7,428,0,0,0.0,0.0,0,0,1,2,2,0.0,1,0,2,0.0,0.0,46.61,1
2,17,37640,0,0,0.0,0.0,0,0,15,1,1,0.0,1,0,1,0.0,0.0,88.34,1
2,9,6643,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,37.16,1
0,2,7381,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,13.39,1
0,6,429,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,2,0.0,0.0,43.06,1
1,4,38648,0,1,0.002,0.0,0,0,0,2,3,0.0,1,0,2,0.0,0.0,22.74,1
0,14,7640,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,30.98,1
0,15,8635,0,0,0.0,0.0,0,0,0,0,3,0.0,1,0,2,0.0,0.0,81.41,1
0,7,8420,0,0,0.006,0.0,0,0,4,1,1,0.0,1,0,1,0.0,0.0,16.92,1
0,5,12562,0,0,0.0,0.0,0,0,1,0,1,0.0,1,0,1,0.0,0.0,4.8,1
1,9,406,0,0,0.0,0.0,0,0,14,0,1,0.0,1,0,1,0.0,0.0,28.86,1
0,7,25143,6,4,0.002,0.01,6,0,0,0,1,0.0,1,0,1,0.0,0.0,69.27,1
1,6,18844,0,0,0.0,0.0,0,0,1,0,2,0.0,1,0,3,0.0,0.0,13.1,1
0,7,2015,0,1,0.014,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,31.99,1
1,5,49630,0,1,0.0,0.0,0,0,6,1,4,24.957,1,0,1,24.96,24.957,72.93,1
0,12,44917,0,0,0.0,0.0,0,0,1,1,2,16.205,2,0,3,16.21,16.205,56.43,1
0,8,124727,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,37.3,1
0,8,4607,0,1,0.004,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,8.74,1
0,13,3790,1,0,0.0,0.0,0,0,14,0,1,0.0,1,1,4,0.0,0.0,43.53,1
0,11,4154,2,0,0.0,0.0,2,0,0,1,2,0.0,1,0,1,0.0,0.0,92.02,1
2,13,2909,0,0,0.0,0.0,0,0,15,0,1,0.0,1,0,1,0.0,0.0,50.52,1
0,5,4388,0,0,0.0,0.0,0,0,13,0,1,0.0,1,0,1,0.0,0.0,15.04,1
1,4,49639,0,0,0.0,0.0,0,0,9,1,3,0.0,1,0,1,0.0,0.0,56.38,1
1,9,318247,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,3,0.0,0.0,23.46,1
0,9,14748,2,1,0.0,0.0,0,0,2,0,1,0.0,1,0,2,0.0,0.0,77.27,1
0,15,17021,0,0,0.0,0.0,0,0,1,1,1,0.0,1,0,2,0.0,0.0,92.47,1
1,15,27715,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,44.61,1
0,11,369760,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,9.57,1
0,16,386781,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,2,0.0,0.0,97.47,1
0,18,22143,0,0,0.0,0.0,0,0,0,1,3,0.0,1,0,4,0.0,0.0,62.0,1
0,12,168,0,1,0.0,0.0,0,0,0,0,3,0.0,1,0,3,0.0,0.0,64.54,1
2,9,6803,0,0,0.0,0.0,0,0,0,2,3,450.367,3,0,3,450.37,450.367,41.62,1
0,10,1623,0,2,0.0,0.0,0,2,1,0,2,0.0,1,0,1,0.0,0.0,13.11,1
2,10,63330,0,2,0.021,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,29.28,1
3,10,326249,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,3,0.0,0.0,56.38,1
0,17,833,0,0,0.0,0.0,0,0,2,3,5,0.0,2,0,1,0.0,0.0,95.03,1
0,10,11219,0,2,0.0,0.0,0,2,0,0,1,0.0,1,0,1,0.0,0.0,45.6,1
0,8,1195,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,3,0.0,0.0,37.26,1
0,8,1621,0,1,0.0,0.0,0,1,1,0,2,0.0,1,0,1,0.0,0.0,5.4,1
0,8,66456,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,2,0.0,0.0,23.34,1
0,5,19812,0,5,0.008,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,56.03,1
0,10,890,0,2,0.0,0.0,0,0,8,0,1,0.0,1,0,2,0.0,0.0,7.1,1
0,12,41306,0,0,0.0,0.0,0,0,8,2,3,20.16,2,0,2,20.16,20.16,71.7,1
0,10,30531,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,13.84,1
1,9,1143,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,13.65,1
0,14,349413,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,2,0.0,0.0,86.98,1
2,1,457593,4,0,0.0,0.0,0,0,12,1,1,0.0,1,0,2,0.0,0.0,31.83,1
0,13,16643,0,0,0.0,0.0,0,0,12,0,1,0.0,1,0,1,0.0,0.0,41.39,1
0,11,1667,0,0,0.0,0.0,0,0,3,0,2,0.0,1,0,1,0.0,0.0,15.59,1
0,13,28719,0,0,0.0,0.0,0,0,14,0,1,0.0,1,0,3,0.0,0.0,49.56,1
1,9,25802,0,3,0.043,0.0,0,1,6,0,2,0.0,1,0,2,0.0,0.0,17.34,1
0,10,86301,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,3,0.0,0.0,86.12,1
0,7,473,0,0,0.0,0.0,0,0,0,1,2,0.0,2,0,2,0.0,0.0,4.46,1
0,9,10142,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,2,0.0,0.0,41.85,1
2,3,856,1,1,0.099,0.447,0,0,0,0,3,0.0,1,0,1,0.0,0.0,6.27,1
0,11,13980,0,0,0.0,0.0,0,0,3,1,2,0.0,2,0,2,0.0,0.0,17.66,1
0,9,2621,0,0,0.0,0.05,0,0,0,0,2,0.0,1,0,2,0.0,0.0,22.1,1
0,11,13010,0,0,0.005,0.0,0,0,11,0,1,0.0,1,0,1,0.0,0.0,20.63,1
0,8,12,0,0,0.0,0.0,0,0,2,1,1,0.0,1,0,1,0.0,0.0,62.16,1
3,5,1801,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,24.27,1
0,10,4151,0,2,0.002,0.0,0,1,0,0,1,0.0,1,0,4,0.0,0.0,72.87,1
1,10,50181,0,0,0.0,0.0,0,0,16,0,2,0.0,1,0,2,0.0,0.0,19.91,1
0,6,1261,0,0,0.0,0.0,0,0,6,0,1,0.0,1,0,2,0.0,0.0,40.7,1
0,7,642,0,0,0.0,0.0,0,0,0,2,2,0.0,2,0,1,0.0,0.0,58.85,1
0,10,1263,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,1,0.0,0.0,26.73,1
0,7,5088,0,1,0.033,0.0,0,0,0,1,1,0.0,1,0,2,0.0,0.0,84.9,1
0,8,30533,0,0,0.0,0.049,0,0,0,0,1,0.0,1,0,1,0.0,0.0,15.19,1
0,13,78225,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,70.05,1
1,5,15,0,0,0.0,0.0,0,0,1,1,1,0.0,1,0,2,0.0,0.0,11.15,1
0,12,67396,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,3,0.0,0.0,83.15,1
0,7,5906,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,27.56,1
0,10,307427,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,27.89,1
0,9,24544,0,0,0.0,0.0,0,0,11,0,1,0.0,1,0,1,0.0,0.0,28.69,1
1,10,347215,0,0,0.001,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,36.54,1
0,9,5,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,39.72,1
0,12,38066,0,3,0.048,0.0,0,0,11,1,1,0.0,1,0,2,0.0,0.0,63.76,1
0,20,12001,0,0,0.0,0.0,0,0,2,0,1,0.0,1,0,1,0.0,0.0,37.88,1
2,6,103331,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,47.71,1
1,11,79682,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,17.27,1
1,8,70646,1,1,0.01,0.509,1,0,0,0,2,0.0,1,0,1,0.0,0.0,19.65,1
2,15,79,0,0,0.0,0.0,0,0,0,0,4,0.0,1,0,1,0.0,0.0,68.56,1
0,14,18114,0,0,0.0,0.0,0,0,13,1,1,0.0,1,0,1,0.0,0.0,83.8,1
0,11,8458,0,0,0.0,0.0,0,0,2,0,1,24.487,1,0,2,24.49,24.487,92.19,1
0,16,3092,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,18.13,1
0,11,6718,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,30.92,1
1,16,142,0,1,0.002,0.0,0,1,8,0,2,0.0,1,0,1,0.0,0.0,88.74,1
0,11,7193,0,0,0.0,0.0,0,0,3,0,1,0.0,1,0,3,0.0,0.0,37.16,1
0,17,11273,0,1,0.004,0.0,0,0,3,2,3,0.0,2,0,2,0.0,0.0,36.15,1
0,13,55993,0,0,0.0,0.0,0,0,16,1,1,23.848,1,0,1,23.85,23.848,9.83,1
0,7,457,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,13.48,1
0,14,4830,0,3,0.007,0.0,0,1,0,0,5,0.0,1,0,4,0.0,0.0,93.94,1
0,11,7,0,0,0.0,0.0,0,0,1,1,2,0.0,2,0,1,0.0,0.0,72.2,1
0,7,7570,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,54.81,1
0,7,235,0,2,0.022,0.0,0,0,0,2,2,39.403,2,0,5,39.4,39.403,6.34,1
0,11,1104,1,0,0.0,0.0,0,0,12,0,2,0.0,1,0,1,0.0,0.0,71.72,1
0,6,350542,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,3,0.0,0.0,17.67,1
0,14,585,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,2,0.0,0.0,25.54,1
0,9,13184,0,0,0.0,0.0,0,0,1,0,2,0.0,1,0,1,0.0,0.0,39.15,1
0,10,3120,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,2,0.0,0.0,21.79,1
1,11,80705,2,3,0.219,0.0,0,0,0,0,3,0.0,1,0,3,0.0,0.0,85.78,1
0,14,1550,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,3,0.0,0.0,9.26,1
1,15,76963,0,0,0.0,0.0,0,0,0,1,2,0.0,2,0,2,0.0,0.0,32.96,1
1,15,326694,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,1,0.0,0.0,62.43,1
0,2,90,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,12.7,1
0,11,51464,0,0,0.0,0.0,0,0,15,1,2,0.0,1,0,2,0.0,0.0,73.88,1
0,14,3078,0,0,0.0,0.0,0,0,5,0,1,0.0,1,0,3,0.0,0.0,10.01,1
0,9,1063,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,3,0.0,0.0,15.05,1
0,4,1324,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,26.04,1
0,8,4225,0,0,0.0,0.0,0,0,0,0,2,0.0,1,0,3,0.0,0.0,15.52,1
1,9,19413,0,7,0.01,0.0,0,0,4,0,1,0.0,1,0,1,0.0,0.0,35.63,1
0,18,23051,0,1,0.0,0.0,0,0,0,0,5,0.0,1,0,1,0.0,0.0,24.1,1
1,12,19439,1,7,0.01,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,51.15,1
0,13,45429,0,0,0.0,0.0,0,0,12,1,1,0.0,1,0,1,0.0,0.0,42.41,1
0,8,3,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,61.99,1
0,14,65974,1,0,0.0,0.002,0,0,4,1,3,0.0,1,0,1,0.0,0.0,30.52,1
0,4,15779,0,0,0.001,0.0,0,0,1,0,2,0.0,1,0,3,0.0,0.0,27.92,1
0,7,558,0,0,0.0,0.0,0,0,0,1,1,0.0,1,0,1,0.0,0.0,25.55,1
0,8,4790,0,1,0.064,0.0,0,0,2,0,2,0.0,1,0,3,0.0,0.0,14.88,1
1,9,1476,0,0,0.001,0.0,0,0,0,0,1,0.0,1,0,1,0.0,0.0,91.97,1
0,7,308637,0,0,0.0,0.0,0,0,0,0,1,0.0,1,0,3,0.0,0.0,38.05,1
0,16,22433,0,2,0.014,0.0,0,0,1,1,1,0.0,1,0,2,0.0,0.0,11.53,1
0,11,432,0,1,0.003,0.0,0,0,0,1,1,0.0,1,0,2,0.0,0.0,83.19,1
2,16,1339,0,0,0.0,0.0,0,0,11,0,2,0.0,1,0,2,0.0,0.0,31.76,1
2,10,44737,2,0,0.0,0.03,0,0,12,2,2,0.0,1,0,1,0.0,0.0,48.74,1
0,15,853,0,4,0.0,0.0,0,2,1,1,1,7.838,1,0,4,7.84,7.838,59.93,1
0,4,80,0,0,0.0,0.0,0,0,16,2,1,0.0,1,0,3,0.0,0.0,9.22,1
